Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
2084,2016-04-01 00:16:13,2016-04-01 00:50:58,3203,Hamilton Park,40.727595966,-74.044247311,3209,Brunswick St,40.7241765,-74.0506564,24500,Subscriber,1979,1
324,2016-04-01 00:32:48,2016-04-01 00:38:13,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.727595966,-74.044247311,24475,Subscriber,1954,1
387,2016-04-01 02:00:33,2016-04-01 02:07:00,3220,5 Corners Library,40.734961020009514,-74.0595030784607,3215,Central Ave,40.7467299,-74.0492509,24503,Subscriber,1975,1
140,2016-04-01 02:11:43,2016-04-01 02:14:03,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,24446,Subscriber,1981,1
142,2016-04-01 02:18:01,2016-04-01 02:20:23,3195,Sip Ave,40.73074262530658,-74.06378388404846,3194,McGinley Square,40.7253399253558,-74.06762212514877,24446,Subscriber,1981,1
513,2016-04-01 02:26:49,2016-04-01 02:35:22,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,24646,Subscriber,1991,1
94,2016-04-01 03:32:48,2016-04-01 03:34:22,3211,Newark Ave,40.72152515,-74.046304543,3209,Brunswick St,40.7241765,-74.0506564,24700,Subscriber,1986,2
474,2016-04-01 04:52:57,2016-04-01 05:00:52,3209,Brunswick St,40.7241765,-74.0506564,3184,Paulus Hook,40.7141454,-74.0335519,24599,Subscriber,1990,1
429,2016-04-01 05:05:23,2016-04-01 05:12:33,3214,Essex Light Rail,40.7127742,-74.0364857,3211,Newark Ave,40.72152515,-74.046304543,24494,Subscriber,1974,2
260,2016-04-01 05:07:35,2016-04-01 05:11:56,3185,City Hall,40.7177325,-74.043845,3214,Essex Light Rail,40.7127742,-74.0364857,24544,Subscriber,1986,2
419,2016-04-01 05:09:42,2016-04-01 05:16:41,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24570,Subscriber,1987,1
369,2016-04-01 05:12:27,2016-04-01 05:18:36,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.0337589,24718,Subscriber,1982,1
378,2016-04-01 05:18:38,2016-04-01 05:24:56,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,24644,Subscriber,1972,2
494,2016-04-01 05:30:22,2016-04-01 05:38:37,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3195,Sip Ave,40.73074262530658,-74.06378388404846,24398,Subscriber,1967,1
