STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-01,12.75,,0.00,0.0,0.0,41,43,34,,270,280,25.9,35.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-02,9.40,,0.00,0.0,0.0,36,42,30,,260,260,21.0,25.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-03,10.29,,0.00,0.0,0.0,37,47,28,,270,250,23.9,30.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-04,17.22,,0.00,0.0,0.0,32,35,14,,330,330,25.9,33.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-05,9.84,,0.00,0.0,0.0,19,31,10,,360,350,25.1,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-06,5.37,,0.00,0.0,0.0,28,42,15,,230,250,12.1,16.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-07,3.36,,0.00,0.0,0.0,35,46,24,,20,360,8.9,10.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-08,8.05,,0.00,0.0,0.0,38,45,31,,20,30,14.1,16.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-09,6.71,,0.01,0.0,0.0,44,48,38,,60,70,13.0,17.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-10,15.43,,1.77,0.0,0.0,53,65,39,,260,270,36.0,42.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-11,16.33,,0.00,0.0,0.0,36,39,24,,270,290,31.1,45.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-12,8.72,,0.01,0.0,0.0,31,44,22,,270,240,35.1,42.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-13,18.12,,0.00,0.0,0.0,27,31,22,,270,260,31.1,44.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-14,8.05,,0.00,0.0,0.0,28,39,23,,250,250,21.0,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-15,3.80,,0.00,0.0,0.0,38,49,29,,160,160,10.1,15.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-16,11.63,,0.26,0.0,0.0,47,55,42,,280,310,21.9,28.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-17,9.40,,0.07,0.7,0.0,38,42,29,,320,340,18.1,23.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-18,17.22,,0.03,0.5,1.2,27,30,18,,290,280,29.1,38.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-19,19.01,,0.00,0.0,0.0,21,31,16,,290,280,29.1,40.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-20,9.40,,0.00,0.0,0.0,31,39,27,,300,290,21.9,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-21,13.42,,0.00,0.0,0.0,32,38,26,,330,290,23.0,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-22,10.29,,0.03,0.3,0.0,26,30,20,,350,330,21.9,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-23,22.82,,1.81,24.0,7.1,26,27,23,,10,20,31.1,38.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-24,9.40,,0.01,0.2,20.1,26,36,17,,10,360,25.9,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-25,2.46,,0.00,0.0,18.9,29,37,18,,180,300,6.9,13.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-26,5.82,,0.00,0.0,16.9,35,46,25,,230,270,15.0,23.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-27,9.62,,0.01,0.0,14.2,42,45,32,,280,270,21.9,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-28,4.03,,0.00,0.0,9.8,34,42,24,,240,240,14.1,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-29,10.29,,0.00,0.0,9.1,36,41,30,,300,290,23.9,35.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-30,8.28,,0.00,0.0,7.9,32,39,25,,310,300,23.0,30.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-01-31,4.92,,0.00,0.0,7.1,39,54,30,,200,210,12.1,15.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-01,8.05,,0.02,0.0,3.9,45,58,36,,360,310,18.1,23.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-02,3.80,,0.00,0.0,1.2,43,51,32,,350,,11.0,
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-03,6.49,,0.61,0.0,0.0,48,58,39,,170,160,19.9,30.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-04,9.40,,0.01,0.0,0.0,54,56,42,,330,320,23.0,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-05,12.53,,0.48,2.8,1.2,38,43,31,,290,310,25.9,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-06,7.16,,0.00,0.0,1.2,33,41,25,,200,200,15.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-07,4.70,,0.00,0.0,0.0,37,47,28,,30,30,19.9,25.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-08,12.75,,0.02,0.2,0.0,37,40,29,,30,30,21.9,25.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-09,6.04,,0.02,0.2,0.0,31,36,27,,10,20,15.0,21.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-10,11.63,,0.02,0.3,0.0,35,42,31,,240,250,23.0,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-11,19.91,,0.00,0.2,0.0,27,31,19,,270,290,32.0,38.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-12,9.17,,0.00,0.0,0.0,21,27,15,,280,290,21.9,31.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-13,19.69,,0.00,0.0,0.0,21,24,7,,280,280,36.9,46.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-14,11.63,,0.00,0.0,0.0,8,18,0,,300,320,29.1,35.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-15,6.93,,0.42,1.5,0.0,18,33,10,,20,360,14.1,17.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-16,10.51,,0.99,0.0,1.2,43,55,33,,260,230,28.0,33.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-17,9.62,,0.00,0.0,0.0,39,41,32,,280,290,18.1,25.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-18,13.42,,0.00,0.0,0.0,33,38,27,,350,310,21.9,28.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-19,6.93,,0.00,0.0,0.0,29,38,19,,140,140,15.0,21.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-20,11.86,,0.00,0.0,0.0,47,64,38,,230,230,23.0,28.0
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-21,5.59,,0.08,0.0,0.0,51,56,38,,360,350,15.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-22,6.93,,0.00,0.0,0.0,45,54,35,,30,30,15.0,18.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-23,12.75,,0.27,0.0,0.0,39,42,34,,40,50,21.0,29.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2016-02-24,11.41,,1.02,0.0,0.0,42,63,36,,160,160,29.1,51.0
